"filename", "language", "Cuteify", "Go Module File", "Go", "Batch", "XML", "x86 and x86_64 Assembly", "Shell Script", "Python", "YAML", "JSON", "C++", "Markdown", "comment", "blank", "total"
"/home/gx/Desktop/tiny/qodana.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 30, 8, 42
"/home/gx/Desktop/tiny/run.bat", "Batch", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/gx/Desktop/tiny/run.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 8
"/home/gx/Desktop/tiny/test/a.cute", "Cuteify", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/gx/Desktop/tiny/test/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/gx/Desktop/tiny/test/runtime/malloc_linux.cute", "Cuteify", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 101
"/home/gx/Desktop/tiny/test/runtime/malloc_windows.cute", "Cuteify", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 102
"/home/gx/Desktop/tiny/test/runtime/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/gx/Desktop/tiny/test/test copy/a.cute", "Cuteify", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 42
"/home/gx/Desktop/tiny/test/test copy/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/gx/Desktop/tiny/tiny.iml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/home/gx/Desktop/tiny/type/type.go", "Go", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 287
"/home/gx/Desktop/tiny/utils/utils.go", "Go", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 50
"/home/gx/Desktop/tiny/watch.py", "Python", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 2, 15, 83
"Total", "-", 231, 2, 3612, 5, 43, 334, 7, 66, 4, 15, 44, 0, 836, 476, 5675
