"filename", "language", "x86 and x86_64 Assembly", "Batch", "Go", "Shell Script", "JSON", "Cuteify", "Go Module File", "C++", "Markdown", "XML", "comment", "blank", "total"
"/home/gx/Desktop/tiny/.idea/future.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"/home/gx/Desktop/tiny/.idea/misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"/home/gx/Desktop/tiny/.idea/modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"/home/gx/Desktop/tiny/.idea/vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"/home/gx/Desktop/tiny/.test.fut", "Cuteify", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
"/home/gx/Desktop/tiny/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/gx/Desktop/tiny/_a.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 3, 47
"/home/gx/Desktop/tiny/_aa.asm", "x86 and x86_64 Assembly", 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 265
"/home/gx/Desktop/tiny/_main.asm", "x86 and x86_64 Assembly", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 20, 128
"/home/gx/Desktop/tiny/compile/build.go", "Go", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/gx/Desktop/tiny/compile/compiler.go", "Go", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 48, 20, 294
"/home/gx/Desktop/tiny/compile/exp.go", "Go", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 43, 20, 209
"/home/gx/Desktop/tiny/compile/reg.go", "Go", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 63, 23, 350
"/home/gx/Desktop/tiny/compile/utils.go", "Go", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 22, 11, 77
"/home/gx/Desktop/tiny/error/error.go", "Go", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 10, 78
"/home/gx/Desktop/tiny/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"/home/gx/Desktop/tiny/lexer/keywords.go", "Go", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 2, 5, 123
"/home/gx/Desktop/tiny/lexer/lexer.go", "Go", 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 8, 16, 309
"/home/gx/Desktop/tiny/main.go", "Go", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 14, 3, 51
"/home/gx/Desktop/tiny/optimizer/optimizer.go", "Go", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/gx/Desktop/tiny/package/fmt/fmt.go", "Go", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37
